OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,LINEAS
1167,6_559,20190912,6,559,CONDESA VENADITO-ARTURO SORIA,,S,,2118,"Condesa de Venadito, 19",,,U,28,079,07901,,01477,Calle,de la,Condesa de Venadito,N,19,,,28027,15,143,155,T0795631,,4,1,A,2,079-15-406,406,,,2,3,20010709,19861001,,445016,4477752,T,,,,,"11, N3"
1168,6_561,20190912,6,561,TORRELAGUNA-JOSE SILVA,,S,,708,"Torrelaguna, 125",93,149,U,28,079,07901,,06081,Calle,de,Torrelaguna,N,125,,,28043,15,153,156,T0794727,,,1,A,2,079-15-401,401,,,2,3,20010709,19861001,,444089,4478488,T,,,,,53
1169,6_570,20190912,6,570,FCO.SILVELA-AV.AMERICA,,S,,789,"Francisco Silvela, 83",90,4,U,28,079,07901,0790101,02340,Calle,de,Francisco Silvela,N,81,,,28006,04,95,5,,,1,1,A,1,079-04-067,67,,,2,3,20010709,19861001,,442685,4476668,T,,,,,"12, 72, 73, C1"
1170,6_439,20190912,6,439,ARTURO SORIA-LOPEZ DE HOYOS,Frente al nº 202,S,,218,"Arturo Soria, 201",,,U,28,079,07901,0790101,99999,Calle,de,Arturo Soria,SN,SN,,,28043,15,157,157,T0793849,0790101A01,4,1,A,2,079-15-400,400,,,2,3,20010709,19861001,,444118,4479153,T,,,,,"9, 11, 70, 72, 73, N2, N3"
1171,6_440,20190912,6,440,LOPEZ DE HOYOS-PEDRO SALINAS,,S,,2025,"López de Hoyos, 259",,,U,28,079,07901,0790101,03477,Calle,de,López de Hoyos,N,259,,,28043,15,157,157,T0794196,,4,1,A,2,079-15-400,400,,,2,3,20010709,19861001,,444054,4478858,T,,,,,"9, 53, 72, 73, N2"
1172,6_441,20190912,6,441,AV.RAMON Y CAJAL-AV.LA PAZ,,S,,409,"Av. Ramón y Cajal, 107",93,149,U,28,079,07901,,05092,Avda,de,Ramón y Cajal,N,107,,,28043,15,154,157,T0794576,,,1,A,2,079-15-400,400,,,2,3,20010709,19861001,,444044,4478542,T,,,,,"9, 72, 73, 120, N2"
1173,6_444,20190912,6,444,LOPEZ DE HOYOS-CLARA DEL REY,,S,,2021,"López de Hoyos,159",93,129,U,28,079,07901,,03477,Calle,de,López de Hoyos,N,157,,,28002,05,39,3,,,,1,A,1,079-05-098,98,,,2,3,20010709,19861001,,443508,4477977,T,,,,,"9, 73, N2"
1174,6_446,20190912,6,446,LOPEZ DE HOYOS-CARDENAL SILICEO,,S,,2016,"López de Hoyos, 117",,,U,28,079,07901,,03477,Calle,de,López de Hoyos,N,115,,,28002,05,41,3,,,1,1,A,1,079-05-097,97,,,2,3,20010709,19861001,,443144,4477662,T,,,,,"9, 73, N2"
1175,6_450,20190912,6,450,LOPEZ DE HOYOS-FCO.SILVELA,,S,,2008,"López de Hoyos, 27",,,U,28,079,07901,,03477,Calle,de,López de Hoyos,N,27,,,28006,05,1,1,,,1,1,A,1,079-05-101,101,,,2,3,20010709,19861001,,442333,4477050,T,,,,,9
1176,6_452,20190912,6,452,SERRANO-MARIA DE MOLINA,,S,,446,"Serrano, 97",,,U,28,079,07901,,05757,Calle,de,Serrano,N,95,,,28006,05,2,1,,,1,1,A,1,079-05-100,100,,,2,3,20010709,19861001,,441897,4476825,T,,,,,"9, 16, 19, 51, N1"
1177,6_454,20190912,6,454,SERRANO-MALDONADO,,S,,448,"Serrano, 71",,,U,28,079,07901,,05757,Calle,de,Serrano,N,71,,,28006,04,118,6,,,1,1,A,1,079-04-065,65,,,2,3,20010709,19861001,,441861,4476348,T,,,,,"9, 19, 51, N4"
1178,6_459,20190912,6,459,PZA.CANOVAS DEL CASTILLO,,S,,77,"Pza. de Cánovas del Castillo, 3",,,U,28,079,07901,,01301,Calle,de,Cervantes,N,44,,,28014,01,071,013,T0799259,,,5,A,1,079-01-021,21,,559-3,2,3,20010709,19861001,,441184,4474258,T,,,,,"10, 14, 27, 34, 37, 45, N10, N11, N12, N13, N14, N15, N17, N25, N26, N9"
1179,6_460,20190912,6,460,Pº PRADO-PZA.PLATERIA MTNEZ.,,S,,79,"Pº del Prado, 26",,,U,28,079,07901,0790101,04912,Paseo,del,Prado,N,22,,,28014,01,001,011,,,1,5,A,1,079-01-021,21,,,2,3,20010709,19861001,,441274,4473974,T,,,,,"10, 14, 27, 34, 37, 45, N10, N11, N12, N13, N14, N15, N17, N25, N26, N9"
1180,6_461,20190912,6,461,Pº PRADO-ATOCHA,,S,,81,"Pº del Prado, 48 con C/ Atocha",,,U,28,079,07901,,04912,Paseo,del,Prado,N,48,,,28014,01,,,,,1,5,A,1,079-01-021,21,,,2,3,20010709,19861001,,441342,4473687,T,,,,,"10, 14, 27, 34, 37, 45, E1, N10, N11, N12, N13, N14, N15, N17, N25, N26, N9"
1181,6_464,20190912,6,464,Pº REINA CRISTINA-ANDRES TORREJON,,S,,2048,"Pº de Reina Cristina, 20",,,U,28,079,07901,,05138,Paseo,de la,Reina Cristina,N,22,,,28014,03,,,,,1,3,A,1,079-03-060,60,,,2,3,20010709,19861001,,442288,4473358,T,,,,,"10, 14, 26, 32, C2, N9"
1182,6_465,20190912,6,465,CAVANILLES-PZA.MARIANO CAVIA,,S,,2050,"Cavanilles, 10",,,U,28,079,07901,,01256,Calle,de,Cavanilles,N,10,,,28007,03,,,,,1,3,A,1,079-03-060,60,,,2,3,20010709,19861001,,442580,4473342,T,,,,,10
1183,6_466,20190912,6,466,CAVANILLES-ABTAO,,S,,2052,"Cavanilles, 36",,,U,28,079,07901,0790101,01258,Parti,de,Cavanilles,N,36,,,28007,03,16,1,,,1,3,A,1,079-03-061,61,,,2,3,20010709,19861001,,442791,4473213,T,,,,,10
1184,6_467,20190912,6,467,DR.ESQUERDO-CAVANILLES,,S,,1435,"Doctor Esquerdo, 150",,,U,28,079,07901,,01736,Calle,del,Doctor Esquerdo,N,148,,,28007,03,20,1,,,1,3,A,1,079-03-061,61,,,2,3,20010709,19861001,,443043,4473028,T,,,,,"10, 56, 156"
1185,6_470,20190912,6,470,MONTE IGUELDO-MARIA BOSCH,,S,,2059,,,,U,28,079,07901,0790101,04148,Avda,del,Monte Igueldo,N,10,,,28053,13,042,132,T07911574,,,3,A,1,079-13-351,351,,559-4,2,3,20010709,19861001,,443421,4472232,T,,,,,"10, 24, 111, 310"
1186,6_471,20190912,6,471,AV.OROVILLA-AV.FELICIDAD,,S,,4869,"Av de Orovilla, 53",,,U,28,079,07901,,11845,Avda, ,Orovilla,N,53,,,28041,17,096,174,T07915754,,,4,A,1,079-17-470,470,,559-3,2,3,20010709,19861001,,441563,4468012,T,,,,,
1187,6_472,20190912,6,472,ARROYO OLIVAR-MONTE PERDIDO,,S,,4861,,,,U,28,079,07901,,00608,Calle,del,Arroyo del Olivar,N,56,,,28053,13,079,133,,,3,3,A,2,079-13-357,357,,,2,3,20010709,19861001,,443919,4471697,T,,,,,10
1188,6_473,20190912,6,473,ARROYO OLIVAR-C.MARTIN ALVAREZ,,S,,2064,"Arroyo del Olivar, 68",,,U,28,079,07901,,00608,Calle,del,Arroyo del Olivar,N,70,,,28018,13,077,133,,,3,3,A,2,079-13-357,357,,,2,3,20010709,19861001,,444018,4471630,T,,,,,10
1189,6_352,20190912,6,352,AV.SENECA-TRV. ANTONIO NEBRIJA,Con Trva de Antonio Nebrija,S,,4306,Av de Séneca con Trv. Antonio Nebrija,,,U,28,079,07901,0790101,05738,Avda,de,Séneca,SN,SN,,,28040,09,001,091,,,5,6,A,2,079-09-218,218,,,2,3,20010709,19861001,,438396,4476597,T,,,,,U
1190,6_353,20190912,6,353,RAMIREZ DE PRADO-VARA DE REY,,S,,1966,"Ramírez de Prado, 4",,,U,28,079,07901,,05084,Calle,de,Ramírez de Prado,N,4,,,28045,02,106,025,T07911268,,,4,A,1,079-02-035,35,,559-3,2,3,20010709,19861001,,441672,4472514,T,,,,,8
1191,6_354,20190912,6,354,MENDEZ ALVARO-MENESES,,S,,1967,"Méndez Alvaro, frente al Nº 57",,,U,28,079,07901,,04013,Calle,de,Méndez Álvaro,N,54,,,28045,02,106,025,T07911268,,,4,A,1,079-02-035,35,,559-4,2,3,20010709,19861001,,442143,4472351,T,,,,,"8, 102, 152, N11, N13"
1192,6_357,20190912,6,357,AV.CDAD.BARCELONA-LUIS MITJANS,,S,,1410,"Av. Ciudad de Barcelona, 208",,,U,28,079,07901,,01357,Avda,de la,Ciudad de Barcelona,N,208,,,28007,03,,,,,1,3,A,1,079-03-064,64,,,2,3,20010709,19861001,,443063,4472556,T,,,,,"8, 10, 24, 37, 54, 56, 57, 136, 141, 310"
1193,6_359,20190912,6,359,AV.PEÑA PRIETA-FRANCISCO IGLESIAS,,S,,1980,"Av. de Peña Prieta, 26",,,U,28,079,07901,,04676,Avda,de,Peña Prieta,N,24,,,28038,13,194,136,,,3,3,A,2,079-13-339,339,,,2,3,20010709,19861001,,443496,4472551,T,,,,,"8, 113, 141"
1194,6_362,20190912,6,362,SIERRA TOLEDANA-PATIO SANTIAGO,,S,,1986,"Sierra Toledana, 48",,,U,28,079,07901,0790101,05844,Calle,de,Sierra Toledana,N,42,,,28038,13,184,136,T07910509,,3,3,A,2,079-13-338,338,,,2,3,20010709,19861001,,444140,4473018,T,,,,,"8, 113"
1195,6_363,20190912,6,363,AV.MORATALAZ-PZA.CORR.ALONSO AGUILAR,,S,,5472,Av. Moratalaz frente al Nº 49,,,U,28,079,07901,,04198,Avda,de,Moratalaz,N,44,,,28030,14,043,145,T07910359,,,3,A,1,079-14-386,386,,559-4,2,3,20010709,19861001,,444339,4473305,T,,,,,"8, 20"
1196,6_1048,20190912,6,1048,Pº CASTELLANA-PZA.DE LIMA,,S,,44,"Pº de la Castellana, 140",92,342,U,28,079,07901,0790101,01213,Paseo,de la,Castellana,N,142,B,,28046,05,001,051,T0795932,0790101A01,,1,A,1,079-05-092,92,,,2,3,20010709,19861001,,441571,4478489,T,,,,,"27, 40, 126, 147, 150"
1197,6_1052,20190912,6,1052,Pº CASTELLANA-RAFAEL SALGADO,,S,,38,"Pº de la Castellana, 103",92,342,U,28,079,07901,,07381,Plaza,de,Manolete,N,1,,,28046,06,001,061,,,,6,A,1,079-06-116,116,,,2,3,20010709,19861001,,441540,4478624,T,,,,,"27, 40, 126, 147"
1198,6_1053,20190912,6,1053,PZA.EMPERADOR CARLOS V,,S,,83,"Pza. del Emperador Carlos V, 8",92,29,U,28,079,07901,0790101,01949,Plaza,del,Emperador Carlos V,N,7,,,28012,01,057,012,T07910003,,,5,A,1,079-01-023,23,,559-3,2,3,20010709,19861001,,441271,4473458,T,,,,,"27, 34, C1, N12, N15, N17"
1199,6_1054,20190912,6,1054,RONDA DE ATOCHA,,S,,84,"Ronda de Atocha, 30",,,U,28,079,07901,,02522,Ronda,de,Atocha,N,32,,,28012,01,,,,,1,5,A,1,079-01-023,23,,,2,3,20010709,19861001,,440813,4473282,T,,,,,"27, 34, 36, 41, 119, C1, N12, N15, N17"
1200,6_1055,20190912,6,1055,PUERTA DE ALCALA,,S,,163,Pza. de la Independencia con C/ Serrano,93,314,U,28,079,07901,0790101,02864,Plaza,de la,Independencia,N,5,A,,28001,04,001,041,T0798598,0790101A01,,1,A,1,079-04-074,74,,,2,3,20010709,19861001,,441716,4474854,T,,,,,28
1201,6_1058,20190912,6,1058,CENTRO DE CARGA AEREA 4,,S,,4380,Av. Central (Centro de Carga Aérea),,,U,28,079,07901,,45806,Avda, ,Central,N,16,,,28042,21,015,212,T0794963,,,2,A,1,079-21-585,585,,559-2,2,3,20010709,19861001,,451293,4478294,T,,,,,114
1202,6_1060,20190912,6,1060,JOSE LUIS ARRESE-Mª TERESA SAENZ HEREDIA,,S,,956,José Luís Arrese frente al Nº 12,,,U,28,079,07901,,06865,Calle,de,José Luis de Arrese,N,5,,,28017,15,009,151,T0798571,,,1,A,1,079-15-428,428,,559-2,2,3,20010709,19861001,,444536,4474996,T,,,,,71
1203,6_1063,20190912,6,1063,VILLUERCAS-BARROS,,S,,2936,Villuercas frente al Nº 14,,,U,28,079,07901,,06803,Calle,de,Villuercas,N,33,,,28053,13,011,131,,,3,3,A,2,079-13-373,373,,,2,3,20010709,19861001,,443576,4469817,T,,,,,102
1204,6_1065,20190912,6,1065,ALIANZA-UNANIMIDAD,,S,,3199,"Alianza, 43",,,U,28,079,07901,,11847,Calle,de la,Alianza,N,41,,,28041,17,105,174,T07915771,,,4,A,1,079-17-470,470,,559-4,2,3,20010709,19861001,,441883,4467902,T,,,,,"23, 123"
1205,6_1066,20190912,6,1066,FCO.VILLAESPESA-EZEQUIEL SOLANA,,S,,970,Ascao frente a C/ Gutierre de Cetina,,,U,28,079,07901,,02343,Calle,de,Francisco Villaespesa,N,16,,,28017,15,054,152,,,4,1,A,2,079-15-421,421,,,2,3,20010709,19861001,,445525,4475815,T,,,,,"28, N6"
1206,6_1067,20190912,6,1067,ANTONIA RGUEZ.SACRISTAN-CENTRO DE SALUD,Frente al nº 11,S,,2459,Antonia Rodríguez Sacristán frente Nº13,,,U,28,079,07901,0790101,00427,Calle,de,Antonia Rodríguez Sacristán,SN,SN,,,28044,11,138,116,T07914343,,3,4,A,2,079-11-306,306,,,2,3,20010709,19861001,,436652,4469641,T,,,,,"47, 121, 131"
1207,6_1071,20190912,6,1071,EMILIO MUÑOZ-MIGUEL YUSTE,Frente al nº 55,S,,984,Emilio Muñoz frente al Nº 57,,,U,28,079,07901,0790101,01941,Calle,de,Emilio Muñoz,SN,SN,,,28037,20,003,201,T0797116,,4,2,A,2,079-20-561,561,,,2,3,20010709,19861001,,447253,4476337,T,,,,,28
1208,6_1072,20190912,6,1072,CRONOS-SAN ROMUALDO,,S,,986,"Cronos, 12",,,U,28,079,07901,,01577,Calle,de,Cronos,N,12,,,28037,20,002,201,,,4,2,A,2,079-20-551,551,,,2,3,20010709,19861001,,447513,4476673,T,,,,,"28, 153"
1209,6_1073,20190912,6,1073,PZA.CRONOS,,S,,988,"Pza. de Cronos, 3",,,U,28,079,07901,,01576,Plaza,de,Cronos,N,3,,,28037,20,002,201,,,4,2,A,2,079-20-552,552,,,2,3,20010709,19861001,,447661,4476990,T,,,,,"28, 153"
1210,6_1076,20190912,6,1076,LUCANO-AQUILES,,S,,994,"Lucano, 14",,,U,28,079,07901,,07314,Calle,de,Lucano,N,12,,,28022,20,078,207,,,4,2,A,2,079-20-553,553,,,2,3,20010709,19861001,,448244,4476910,T,,,,,"140, N5"
1211,6_1080,20190912,6,1080,CANAL DE BOSFORO-ESFINGE,,S,,3943,Canal del Bósforo frente al Nº 84,,,U,28,079,07901,0790101,07519,Calle,del,Canal de Bósforo,N,62,,,28022,20,080,207,T0796361,0790101946,4,2,A,2,079-20-554,554,,559-2,2,3,20010709,19861001,,448429,4477106,T,,,,,28
1212,6_1081,20190912,6,1081,SAN MARIANO-NECTAR,,S,,993,San Mariano frente al Nº 60,,,U,28,079,07901,,05517,Calle,de,San Mariano,N,37,,,28022,20,085,207,,,4,2,A,2,079-20-554,554,,,2,3,20010709,19861001,,448207,4477204,T,,,,,"28, 48, N5"
1213,6_1082,20190912,6,1082,NECTAR-AV.CANILLEJAS,,S,,991,"Nectar, 5",,,U,28,079,07901,0790101,04284,Calle,del,Néctar,N,1,,,28022,20,084,207,T0795959,,4,2,A,2,079-20-546,546,,,2,3,20010709,19861001,,447929,4477120,T,,,,,"28, N5"
1214,6_1083,20190912,6,1083,PZA.CRONOS,Frente al nº 20,S,,989,"Pza. de Cronos,  con C/ Cronos",,,U,28,079,07901,0790101,01577,Calle,de,Cronos,SN,SN,,,28037,20,002,201,T0796129,,4,2,A,2,079-20-551,551,,,2,3,20010709,19861001,,447609,4476955,T,,,,,"28, 153"
1215,6_1084,20190912,6,1084,CRONOS-SAN ROMUALDO,,S,,987,Cronos frente al Nº 10,,,U,28,079,07901,,01577,Calle,de,Cronos,N,12,,,28037,20,002,201,,,4,2,A,2,079-20-551,551,,,2,3,20010709,19861001,,447489,4476660,T,,,,,"28, 153"
1216,6_1089,20190912,6,1089,PAYASO FOFO-SIERRA BERMEJA,,S,,1107,Payaso Fofó frente al Nº 24,,,U,28,079,07901,,10743,Calle,del,Payaso Fofó,N,9,,,28018,13,086,133,,,3,3,A,2,079-13-358,358,,,2,3,20010709,19861001,,444076,4471503,T,,,,,103
1217,6_1091,20190912,6,1091,PAYASO FOFO-AV.ALBUFERA,,S,,1109,Payaso Fofó con C/ Sierra de la Loba,93,302,U,28,079,07901,0790101,10743,Calle,del,Payaso Fofó,N,3,,,28018,13,086,133,T07911981,0790101A01,,3,A,2,079-13-358,358,,,2,3,20010709,19861001,,444148,4471699,T,,,,,103
1218,6_582,20190912,6,582,Pº CASTELLANA-MARIA DE MOLINA,,S,,794,"Pº de la Castellana, 70",92,223,U,28,079,07901,,01753,Plaza,del,Doctor Marañón,N,70,,,28046,05,001,051,T0795932,,,1,A,1,079-05-100,100,,,2,3,20010709,19861001,,441565,4476851,T,,,,,"12, 45"
1219,6_848,20190912,6,848,ALCALA-CEDACEROS,,S,,2002,"Alcalá, 32",92,345,U,28,079,07901,,00132,Calle,de,Alcalá,N,32,,,28014,01,072,013,T0799012,,,5,A,1,079-01-015,15,,559-1,2,3,20010709,19861001,,440903,4474617,T,,,,,"5, 9, 15, 20, 51, 52, 53, 150, N16, N26"
1220,6_850,20190912,6,850,ROBERTO DOMINGO-AV.DONOSTIARRA,,S,,1235,Roberto Domingo con Av. Donostiarra,,,U,28,079,07901,,11311,Calle,de,Roberto Domingo,N,3,,,28028,04,,,,,1,1,A,1,079-04-073,73,,,2,3,20010709,19861001,,444026,4476453,T,,,,,21
1221,6_853,20190912,6,853,ALCALA-HERMOSILLA,,S,,681,"Alcalá, 163",,,U,28,079,07901,,00132,Calle,de,Alcalá,N,165,,,28006,04,30,2,,,1,1,A,1,079-04-080,80,,,2,3,20010709,19861001,,443016,4475478,T,,,,,"21, 43, 53, 146, N5, N7"
1222,6_856,20190912,6,856,GOYA-PRINCIPE VERGARA,,S,,675,"Goya, 63",93,301,U,28,079,07901,,02608,Calle,de,Goya,N,63,,,28001,04,11,1,,,,1,A,1,079-04-071,71,,,2,3,20010709,19861001,,442378,4475374,T,,,,,"21, 53"
1223,6_858,20190912,6,858,GOYA-SERRANO,,S,,671,"Goya, 9",93,344,U,28,079,07901,0790101,02608,Calle,de,Goya,N,7,,,28001,04,5,1,,0790101A01,,1,A,1,079-04-070,70,,,2,3,20010709,19861001,,441680,4475432,T,,,,,"21, 53"
1224,6_27,20190912,6,27,ISAAC PERAL-FERNANDEZ DE LOS RIOS,,S,,4022,"Isaac Peral, 21",90,14,U,28,079,07901,0790101,02898,Calle,de,Isaac Peral,N,8,,,28015,09,033,093,T0796777,0790101304,5,6,A,1,079-09-220,220,,559-1,2,3,20010709,19861001,,439182,4476584,T,,,,,"1, 44, 62, 82, 132, C2, N21"
1225,6_455,20190912,6,455,SERRANO-MARQUES VILLAMAGNA,,S,,449,,,,U,28,079,07901,0790101,05757,Calle,de,Serrano,N,66,,,28001,04,117,046,T0797554,0790101378,1,1,A,1,079-04-065,65,,solape,2,3,20010709,19861001,,441817,4475871,T,,,,,"1, 9, 19, 51, 74, N4"
1226,6_1367,20190912,6,1367,AVDA. AVIACION,,S,,647,Av. de la Aviación con C/ Monroy,,,U,28,079,07901,,00668,Avda,de la,Aviación,N,14,,,28044,10,170,107,,,3,5,A,2,079-10-242,242,,,2,3,20010709,19861001,,433563,4470253,T,,,,,"139, N19"
1227,6_1370,20190912,6,1370,Pº EXTREMADURA Nº 445,,S,,899,"Pº de Extremadura, 445",,,U,28,079,07901,,02110,Paseo,de,Extremadura,N,445,,,28024,10,165,107,,,3,5,A,2,079-10-239,239,,,2,3,20010709,19861001,,433954,4471291,T,,,,,N19
1228,6_1374,20190912,6,1374,LUCHANA-FRANCISCO DE ROJAS,Con Calle de Manuel Silvela,S,,3555,Luchana frente al Nº 23,93,160,U,28,079,07901,0790101,03505,Calle,de,Luchana,N,24,,,28010,07,072,073,T0797459,,,6,A,1,079-07-139,139,,559-1,2,3,20010709,19861001,,440769,4476016,T,,,,,"37, 40, 147"
1229,6_1297,20190912,6,1297,SEBASTIAN ALVARO,Frente al nº 10,S,,2324,Sebastián Alvaro S/N,,,U,28,079,07901,0790101,05718,Calle,de,Sebastián Álvaro,SN,SN,,,28024,10,153,105,T07911694,,3,5,A,2,079-10-249,249,,,2,3,20010709,19861001,,434535,4471940,T,,,,,36
1230,6_1301,20190912,6,1301,Pº EXTREMADURA-SAN MANUEL,,S,,889,Pº de Extremadura S/N con C/ San Manuel,,,U,28,079,07901,,02110,Paseo,de,Extremadura,N,325,,,28011,10,213,103,,,3,5,A,2,079-10-261,261,,,2,3,20010709,19861001,,435669,4472873,T,,,,,"36, N19"
1231,6_1305,20190912,6,1305,JUAN DUQUE-MORENO NIETO,,S,,2320,"Juán Duque, 28",,,U,28,079,07901,,03227,Calle,de,Juan Duque,N,24,,,28005,02,5,1,,,1,4,A,1,079-02-024,24,,,2,3,20010709,19861001,,439058,4473930,T,,,,,"36, 50"
1232,6_1310,20190912,6,1310,Pº IMPERIAL-GTA.PIRAMIDES,,S,,2311,"Pº Imperial, 50",,,U,28,079,07901,,02859,Paseo,,Imperial,N,50,,,28005,02,,,,,3,4,A,1,079-02-025,25,,,2,3,20010709,19861001,,439434,4472768,T,,,,,"36, 62"
1233,6_1226,20190912,6,1226,JOAQUIN TURINA-POLVORANCA,,S,,355,"Joaquín Turina, 42",93,161,U,28,079,07901,0790101,02531,Calle,de,Joaquín Turina,N,42,,,28044,11,145,116,T07914345,0790101A01,,4,A,2,079-11-303,303,,,2,3,20010709,19861001,,436049,4469523,T,,,,,34
1234,6_1231,20190912,6,1231,OLIVA DE PLASENCIA-GRAL.R.BASART,,S,,367,Oliva de Plasencia frente al Nº 24,,,U,28,079,07901,0790101,04402,Calle,de,Oliva de Plasencia,N,26,,,28044,10,187,107,T07913316,,3,5,A,2,079-10-243,243,,,2,3,20010709,19861001,,434314,4470344,T,,,,,34
1235,6_1236,20190912,6,1236,AV.GRAL.FANJUL -EST.RENFE AGUILAS,,S,,372,"General Fanjul, 110",93,120,U,28,079,07901,,02495,Avda,del,General Fanjul,N,112,,,28044,10,169,107,T07913667,,,5,A,2,079-10-240,240,,,2,3,20010709,19861001,,433822,4470587,T,,,,,"17, 34"
1236,6_1160,20190912,6,1160,PZA.ACHICORIA,,S,,2260,"Pza. de la Achicoria, 2",,,U,28,079,07901,,11768,Plaza,de,Achicoria,N,2,,,28047,10,057,103,,,3,5,A,2,079-10-262,262,,,2,3,20010709,19861001,,436885,4472892,T,,,,,31
1237,6_1168,20190912,6,1168,SEGOVIA-VIRGEN DEL PUERTO,,S,,2254,"Segovia, 71",,,U,28,079,07901,,05726,Calle,de,Segovia,N,69,,,28005,02,002,021,T0799388,,,4,A,1,079-02-024,24,,559-3,2,3,20010709,19861001,,439041,4474150,T,,,,,"31, 50, 65"
1238,6_1172,20190912,6,1172,DR.ESQUERDO-PZA.CONDE CASAL,,S,,1434,"Doctor Esquerdo, 173",92,8,U,28,079,07901,0790101,01736,Calle,del,Doctor Esquerdo,N,173,,,28007,03,31,3,,0790101A01,1,3,A,1,079-03-058,58,,,2,3,20010709,19861001,,443260,4473377,T,,,,,"32, 56, 143, 156"
1239,6_1182,20190912,6,1182,VALDEBERNARDO-HACIENDA PAVONES,,S,,2294,"Valdebernardo, 23",,,U,28,079,07901,,09794,Calle,de,Valdebernardo,N,23,,,28030,14,004,141,,,4,3,A,2,079-14-393,393,,,2,3,20010709,19861001,,446459,4472569,T,,,,,32
1240,6_1095,20190912,6,1095,JOSE LUIS ARRESE-Mª TERESA SAENZ HEREDIA,,S,,957,"José Luís Arrese, 12",,,U,28,079,07901,,06865,Calle,de,José Luis de Arrese,N,10,,,28017,15,004,151,,,4,1,A,2,079-15-428,428,,,2,3,20010709,19861001,,444519,4474987,T,,,,,71
1241,6_1103,20190912,6,1103,PRINCIPE DE VERGARA-AYALA,,S,,2229,"Príncipe de Vergara, 42",,,U,28,079,07901,,00676,Calle,de,Ayala,N,51,,,28001,04,23,2,,,1,1,A,1,079-04-080,80,,,2,3,20010709,19861001,,442447,4475653,T,,,,,"29, 52, N2"
1242,6_405,20190912,6,405,VELAZQUEZ-DIEGO DE LEON,,S,,428,"Velázquez, 104",93,283,U,28,079,07901,,06266,Calle,de,Velázquez,N,102,,,28006,04,126,6,T0796709,,,1,A,1,079-04-066,66,,,2,3,20010709,19861001,,442161,4476414,T,,,,,"9, 19, 51, N4"
1243,6_408,20190912,6,408,LOPEZ DE HOYOS-FCO.SILVELA,,S,,2007,"López de Hoyos, 42",,,U,28,079,07901,0790101,03477,Calle,de,López de Hoyos,N,42,,,28006,05,001,051,,,1,1,A,1,079-05-101,101,,,2,3,20010709,19861001,,442357,4477035,T,,,,,9
1244,6_414,20190912,6,414,FDEZ.DE LOS RIOS-VALLEHERMOSO,,S,,522,"Fernández de los Ríos, 37",,,U,28,079,07901,,02187,Calle,de,Fernández de los Ríos,N,35,,,28015,07,40,2,,,1,6,A,1,079-07-137,137,,,2,3,20010709,19861001,,439975,4476498,T,,,,,"16, 61"
1245,6_417,20190912,6,417,AV.RAMON Y CAJAL-AV.LA PAZ,Con Calle de Torrelaguna,S,,408,Av Ramón y Cajal  frente Nº107,93,149,U,28,079,07901,0790101,05092,Avda,de,Ramón y Cajal,SN,SN,,,28043,15,153,156,T0794741,0790101A01,,1,A,2,079-15-401,401,,,2,3,20010709,19861001,,444058,4478517,T,,,,,"9, 72, 73, 120, N2"
1246,6_418,20190912,6,418,LOPEZ DE HOYOS-CAÑAS,,S,,2024,"López de Hoyos, 336",,,U,28,079,07901,,03477,Calle,de,López de Hoyos,N,336,,,28043,15,156,157,T0794347,,4,1,A,2,079-15-400,400,,,2,3,20010709,19861001,,444078,4478871,T,,,,,"9, 53, 72, 73, N2"
1247,6_1201,20190912,6,1201,Pº DE LA VENTA-PARQUE DE ATRACCIONES,,S,,2303,Pº de la Venta (Parque de Atracciones),,,U,28,079,07901,0790101,99999,Paseo,de la,Venta,SN,SN,,,28011,09,001,091,,,3,6,A,2,079-09-224,224,,,2,3,20010709,19861001,,436246,4473608,T,,,,,33
1248,6_2863,20190912,6,2863,ANTONIO MACHADO-VALDERRODRIGO,,S,,1657,"Antonio Machado, 40 con  Valderrodrigo",93,139,U,28,079,07901,0790101,10526,Calle,de,Antonio Machado,N,38,,,28035,09,052,094,T0792585,0790101100,,6,A,2,079-09-208,208,,559-1,2,3,20010709,19861001,,439118,4480402,T,,,,,"127, 132, N21"
