Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2021S004021;15/03/2021;15:30;CALL. GALILEO;86;CHAMBERÍ;Colisión lateral;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;14
2021S004066;16/03/2021;16:40;PASEO. EMBARCADERO / PASEO. AZUL;-;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;06
2021S004063;16/03/2021;14:20;CALL. GRAN VIA / CALL. ISABEL LA CATOLICA;-;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07
2021S004190;17/03/2021;22:15;PASEO. ESPERANZA / CALL. CAOBA;-;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;01
2021S004392;17/03/2021;18:35;CTRA. SOMONTES AL PALACIO DE LA REAL QUINTA;1;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;06
2021S004147;17/03/2021;16:05;PASEO. PRADO;11;RETIRO;Alcance;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;07
2021S004263;18/03/2021;23:10;CALL. BARCELO;3;CENTRO;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 50 A 54 AÑOS;Hombre;05
2021S004219;18/03/2021;15:00;CALL. CLAUDIO COELLO / CALL. PADILLA;-;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;07
2021S004521;18/03/2021;14:40;CALL. EVANGELIOS;1;USERA;Colisión frontal;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;06
2021S004358;18/03/2021;10:30;CALL. JOSE DE CADALSO / CALL. MAESTRA JUSTA FREIRE;-;LATINA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Mujer;01
2021S004358;18/03/2021;10:30;CALL. JOSE DE CADALSO / CALL. MAESTRA JUSTA FREIRE;-;LATINA;Colisión fronto-lateral;Despejado;Bicicleta;Peatón;DE 18 A 20 AÑOS;Hombre;14
2021S004316;19/03/2021;22:00;CALL. DOCTOR ESQUERDO / CALL. ASTROS;-;RETIRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02
2021S004294;19/03/2021;16:20;CALL. VIA DE DUBLIN / AUTOV. M-11;-;BARAJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;07
2021S004374;20/03/2021;13:10;AVDA. GUADALAJARA;69;SAN BLAS-CANILLEJAS;Colisión lateral;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;01
2021S005852;20/03/2021;12:55;ANILLO VERDE KM,58-CAMINO DE LA CAÑADA;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;06
2021S005852;20/03/2021;12:55;ANILLO VERDE KM,58-CAMINO DE LA CAÑADA;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Mujer;07
2021S004559;20/03/2021;10:30;AUTOV. M-500;0;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;02
2021S004469;21/03/2021;19:30;AVDA. ALBUFERA;23;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;01
2021S004468;21/03/2021;18:25;CALL. CLAVEL;5;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;07
2021S004507;21/03/2021;18:10;PASEO. YESERIAS / CALL. NAVES;-;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;01
2021S004513;22/03/2021;18:10;CALL. HUESCA / CALL. HERMANO GARATE;-;TETUÁN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Mujer;
2021S004548;22/03/2021;11:16;AVDA. CARONDELET;37;HORTALEZA;Caída;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Hombre;07
2021S004655;23/03/2021;19:00;CALL. PUERTO RICO;15;CHAMARTÍN;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07
2021S004736;23/03/2021;19:00;CALL. PALAS DE REY;4;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Mujer;02
2021S004736;23/03/2021;19:00;CALL. PALAS DE REY;4;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Peatón;DE 6 A 9 AÑOS;Hombre;14
2021S004604;23/03/2021;16:50;FCO. PI Y MARGALL / AVDA. NICETO ALCALA ZAMORA;-;HORTALEZA;Colisión lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;07
2021S004692;24/03/2021;9:50;CALL. CAMPAÑA / CTRA. COLMENAR VIEJO;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Se desconoce;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07
2021S004752;25/03/2021;19:00;IDB. PARQUE LINEAL DEL MANZANARES;0;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;01
2021S004775;25/03/2021;14:05;AVDA. CERRO MILANO / CALL. CAÑADA DEL SANTISIMO;-;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;07
2021S005131;25/03/2021;8:35;CALL. SERRANO;74;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Mujer;02
2021S004777;25/03/2021;8:18;PASEO. CASTELLANA;156;CHAMARTÍN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;07
2021S004858;26/03/2021;23:00;AVENIDA DE LOS POBLADOS CON AVENIDA DEL EURO;-;LATINA;Caída;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07
2021S004837;26/03/2021;21:00;C/ CAPITAN BLANCO ARGIBAY, 192 (farola 77 parque );-;TETUÁN;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;01
2021S005303;27/03/2021;13:25;CALL. FRANCISCO Y JACINTO ALCANTARA;1;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;07
2021S004987;27/03/2021;12:40;CALL. ATOCHA;3;CENTRO;Colisión lateral;;Bicicleta EPAC (pedaleo asistido);Conductor;DE 35 A 39 AÑOS;Mujer;
2021S004896;27/03/2021;10:40;CALL. ALFONSO XII / PASEO. INFANTA ISABEL;-;RETIRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;
2021S005262;28/03/2021;16:20;PASEO. ESPERANZA;5;ARGANZUELA;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 40 A 44 AÑOS;Hombre;01
2021S005224;28/03/2021;12:47;CALL. ALBERTO DE PALACIO / AVDA. NICETO ALCALA ZAMORA;-;HORTALEZA;Colisión lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;
2021S005038;28/03/2021;10:45;RONDA. ATOCHA;27;ARGANZUELA;Colisión lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07
2021S005034;29/03/2021;8:30;AVDA. ENTREVIAS / CALL. MEJORANA;-;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Mujer;06
2021S005170;30/03/2021;22:45;CALL. ANTEQUERA;23;USERA;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;01
2021S005122;30/03/2021;22:38;PASEO. EDUARDO DATO / CALL. ZURBANO;-;CHAMBERÍ;Alcance;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;06
2021S005113;30/03/2021;20:30;CALL. COMUNEROS DE CASTILLA;4;CARABANCHEL;Colisión frontal;;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;
2021S005189;31/03/2021;19:20;CÑADA. REAL DE MERINAS;64;VICÁLVARO;Colisión fronto-lateral;;Bicicleta;Conductor;DESCONOCIDA;;
2021S005246;31/03/2021;19:05;CALL. SEVILLA / CALL. ARLABAN;-;CENTRO;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;07
2021S005174;31/03/2021;17:45;CALL. IRUN;1;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Mujer;01
2021S005174;31/03/2021;17:45;CALL. IRUN;1;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;07
2021S005266;31/03/2021;17:00;CALL. SEGOVIA;49;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Mujer;01
2021S005192;31/03/2021;16:00;AVDA. MANZANARES;216;USERA;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 35 A 39 AÑOS;Hombre;02
2021S005274;01/04/2021;22:20;CALL. ALCALA / AUTOV. M-30;-;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Mujer;
2021S005406;03/04/2021;19:55;PASEO. ERMITA DEL SANTO;16;LATINA;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;03
2021S005460;03/04/2021;18:35;CALL. CASALARREINA / AVDA. DAROCA;-;VICÁLVARO;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;02
2021S005401;03/04/2021;16:56;C/ GRAN VIA72;-;CENTRO;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 45 A 49 AÑOS;Mujer;06
2021S005556;03/04/2021;16:45;CALL. SAN ANTONIO DE PADUA / CALL. ANTONIO SALVADOR;-;USERA;Colisión frontal;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07
2021S005399;03/04/2021;16:20;CALL. GRAN VIA;80;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;01
2021S005468;03/04/2021;16:15;PQUE. MADRID RIO, +00650I  (TOBOGANES);-;ARGANZUELA;Atropello a persona;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 25 A 29 AÑOS;Hombre;14
2021S005468;03/04/2021;16:15;PQUE. MADRID RIO, +00650I  (TOBOGANES);-;ARGANZUELA;Atropello a persona;Despejado;Bicicleta EPAC (pedaleo asistido);Peatón;DE 0 A 5 AÑOS;Hombre;07
2021S005496;03/04/2021;12:10;GTA. SIETE HERMANAS / PASEO. CASTAÑOS;-;MONCLOA-ARAVACA;Atropello a animal;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;02
2021S005489;04/04/2021;14:00;CALL. ARTURO SORIA / AUTOV. M-11;-;CIUDAD LINEAL;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;01
2021S005488;04/04/2021;13:25;CALL. ATOCHA;36;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Mujer;07
2021S005502;05/04/2021;15:20;AVDA. ALFONSO XIII;145;CHAMARTÍN;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 60 A 64 AÑOS;Hombre;07
2021S005675;06/04/2021;17:11;AVDA. BURGOS;109;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;02
2021S005659;06/04/2021;16:35;AVDA. PLANETARIO;15;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Mujer;05
2021S005574;06/04/2021;15:20;CALL. PUERTO DE REINOSA;15;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Hombre;07
2021S005632;06/04/2021;14:50;CALL. ARGANDA / PASEO. YESERIAS;-;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;01
2021S005629;06/04/2021;14:25;AVDA. LAS FUERZAS ARMADAS / AVDA. LAS FUERZAS ARMADAS;-;BARAJAS;Caída;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;07
2021S005801;07/04/2021;22:10;CALL. REQUENA;5;CENTRO;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 40 A 44 AÑOS;Hombre;
2021S005791;08/04/2021;20:15;CALL. FERNAN NUÑEZ;19;CHAMARTÍN;Caída;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Mujer;07
2021S005738;08/04/2021;20:00;AVDA. NICETO ALCALA ZAMORA / AVDA. FRANCISCO PI Y MARGALL;-;HORTALEZA;Colisión lateral;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;06
2021S005729;08/04/2021;17:00;CALL. SANTA ENGRACIA / GTA. PINTOR SOROLLA;-;CHAMBERÍ;Atropello a persona;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;06
2021S005729;08/04/2021;17:00;CALL. SANTA ENGRACIA / GTA. PINTOR SOROLLA;-;CHAMBERÍ;Atropello a persona;Despejado;Bicicleta;Peatón;DE 21 A 24 AÑOS;Hombre;14
2021S005961;08/04/2021;16:15;AVDA. CARDENAL HERRERA ORIA; 76B;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;02
2021S005691;08/04/2021;8:50;CALL. SAN BERNARDO;46;CENTRO;Caída;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 35 A 39 AÑOS;Mujer;02
2021S005746;09/04/2021;6:45;AVDA. RAMON Y CAJAL / PLAZA. VIRGEN GUADALUPANA;-;CHAMARTÍN;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;03
2021S005954;10/04/2021;22:15;CTRA. GARABITAS;0;MONCLOA-ARAVACA;Caída;LLuvia intensa;Bicicleta;Conductor;DESCONOCIDA;;
2021S005943;10/04/2021;12:30;AVDA. MIGUEL DELIBES / CALL. ALTO DEL ESPARRAGAL;-;VICÁLVARO;Otro;Nublado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;01
2021S005978;11/04/2021;22:35;CALL. VALVERDE / CALL. PUEBLA;-;CENTRO;Alcance;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 45 A 49 AÑOS;Hombre;06
2021S006010;11/04/2021;17:00;CALL. PRINCIPE DE VERGARA;262;CHAMARTÍN;Alcance;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;14
2021S006039;12/04/2021;18:35;CALL. JACINTO VERDAGUER / CALL. ANTONIO DE LEYVA;-;CARABANCHEL;Colisión frontal;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;02
2021S006181;12/04/2021;10:40;AVDA. LOS ROSALES;408;VILLAVERDE;Caída;Despejado;Bicicleta;Conductor;DE 65 A 69 AÑOS;Hombre;02
2021S006181;12/04/2021;10:40;AVDA. LOS ROSALES;408;VILLAVERDE;Caída;Despejado;Bicicleta;Peatón;DE 50 A 54 AÑOS;Mujer;14
2021S006064;12/04/2021;10:25;CALL. PADRE LLANOS / AVDA. ENTREVIAS;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07
2021S006007;12/04/2021;7:37;AVDA. CIUDAD DE BARCELONA / CALL. CATALINA SUAREZ;-;RETIRO;Atropello a persona;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;14
2021S006007;12/04/2021;7:37;AVDA. CIUDAD DE BARCELONA / CALL. CATALINA SUAREZ;-;RETIRO;Atropello a persona;Despejado;Bicicleta;Peatón;DE 45 A 49 AÑOS;Mujer;01
2021S006107;13/04/2021;20:20;CALL. GUZMAN EL BUENO / CALL. FERNANDEZ DE LOS RIOS;-;CHAMBERÍ;Colisión lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;01
2021S006070;13/04/2021;10:25;CALL. GRAN VIA;56;CENTRO;Caída;Lluvia débil;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;
2021S006160;14/04/2021;19:40;CALL. MARQUES DE URQUIJO;30;MONCLOA-ARAVACA;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 35 A 39 AÑOS;Mujer;07
2021S006140;14/04/2021;16:45;CALL. CONVENIO;41;PUENTE DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07
2021S006259;15/04/2021;20:30;PLAZA. DUQUE DE PASTRANA / CALL. SANTA MAGDALENA SOFIA;-;CHAMARTÍN;Caída;Lluvia débil;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;01
2021S006240;15/04/2021;12:30;CALL. FINISTERRE;29;FUENCARRAL-EL PARDO;Alcance;Se desconoce;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;01
2021S006261;16/04/2021;14:45;CALL. ALBERTO AGUILERA;18;CHAMBERÍ;Colisión lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 40 A 44 AÑOS;Hombre;07
2021S006603;21/04/2021;18:40;AVDA. CIUDAD DE BARCELONA;202;RETIRO;Atropello a persona;Nublado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;14
2021S006603;21/04/2021;18:40;AVDA. CIUDAD DE BARCELONA;202;RETIRO;Atropello a persona;Nublado;Bicicleta;Peatón;DE 65 A 69 AÑOS;Mujer;07
2021S006574;21/04/2021;12:00;MADRID RIO - PUENTE DEL REY;-;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;01
2021S006667;22/04/2021;19:50;PASEO. ERMITA DEL SANTO;40;LATINA;Caída;Lluvia débil;Bicicleta;Conductor;DE 21 A 24 AÑOS;Mujer;07
2021S006807;22/04/2021;17:12;PQUE. MADRID RIO, +00500E;-;CARABANCHEL;Caída;Lluvia débil;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;
2021S006807;22/04/2021;17:12;PQUE. MADRID RIO, +00500E;-;CARABANCHEL;Caída;Lluvia débil;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;
2021S006724;23/04/2021;17:20;CALL. FRANCISCO LARGO CABALLERO / AVDA. INSTITUCION LIBRE DE ENSEÑANZA;-;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;03
2021S006709;23/04/2021;13:30;CALL. GAZTAMBIDE;23;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;02
2021S006837;24/04/2021;23:30;CALL. SERRANO;44;SALAMANCA;Caída;Lluvia débil;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;07
2021S006873;24/04/2021;22:47;PASEO. ACACIAS / CALL. NOGALES;-;ARGANZUELA;Colisión múltiple;LLuvia intensa;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;07
2021S006823;24/04/2021;22:30;PASEO. REY;22;MONCLOA-ARAVACA;Atropello a persona;LLuvia intensa;Bicicleta EPAC (pedaleo asistido);Conductor;DESCONOCIDA;;
2021S006823;24/04/2021;22:30;PASEO. REY;22;MONCLOA-ARAVACA;Atropello a persona;LLuvia intensa;Bicicleta EPAC (pedaleo asistido);Peatón;DE 50 A 54 AÑOS;Mujer;14
2021S006899;24/04/2021;22:00;PASEO. MARCELINO CAMACHO / CALL. GENERAL RICARDOS;-;CARABANCHEL;Colisión fronto-lateral;;Bicicleta;Conductor;DE 10 A 14 AÑOS;Hombre;
2021S006899;24/04/2021;22:00;PASEO. MARCELINO CAMACHO / CALL. GENERAL RICARDOS;-;CARABANCHEL;Colisión fronto-lateral;;Bicicleta;Pasajero;DE 10 A 14 AÑOS;Hombre;
2021S006803;24/04/2021;17:40;CALL. JOSE PAULETE;5;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;02
2021S006876;24/04/2021;11:15;METRO. RONDA DE LA COMUNICACION;0;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Mujer;06
2021S006876;24/04/2021;11:15;METRO. RONDA DE LA COMUNICACION;0;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Mujer;14
2021S006894;25/04/2021;12:35;CALL. TINTOREROS -C/ CUCHILLEROS Y PUERTA CERRADA;-;CENTRO;Alcance;Lluvia débil;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;01
2021S007017;26/04/2021;18:30;CALL. PLAYA DE LA CALETA / CALL. VALHONDO;-;BARAJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Hombre;07
2021S006976;26/04/2021;12:45;PASEO. PRADO;48;CENTRO;Colisión lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 30 A 34 AÑOS;Hombre;06
2021S007119;27/04/2021;23:00;CALL. BRAVO MURILLO;137;TETUÁN;Alcance;LLuvia intensa;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;07
2021S007112;27/04/2021;19:15;CALL. RAIMUNDO FERNANDEZ VILLAVERDE / PASEO. CASTELLANA;-;CHAMBERÍ;Alcance;;Bicicleta EPAC (pedaleo asistido);Conductor;DE 45 A 49 AÑOS;Mujer;14
2021S007058;27/04/2021;15:30;AVDA. POBLADOS / CALL. DOBLA;-;CARABANCHEL;Colisión lateral;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;02
2021S007050;27/04/2021;15:05;CALL. CERILLERAS / AVDA. POBLADOS;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;07
2021S007182;28/04/2021;20:15;CMNO. VIEJO DE VICALVARO / AVDA. DAROCA;-;VICÁLVARO;Caída;Nublado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;02
2021S007136;28/04/2021;19:10;CALL. CARLOS MARTIN ALVAREZ;2;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;07
2021S007197;29/04/2021;17:20;CALL. CHIQUINQUIRA;60;HORTALEZA;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;01
2021S007177;29/04/2021;11:00;CALL. ARTURO SORIA / CUSTA. SAGRADO CORAZON;-;CIUDAD LINEAL;Atropello a persona;Nublado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;14
2021S007177;29/04/2021;11:00;CALL. ARTURO SORIA / CUSTA. SAGRADO CORAZON;-;CIUDAD LINEAL;Atropello a persona;Nublado;Bicicleta;Peatón;DE 65 A 69 AÑOS;Hombre;03
2021S007489;29/04/2021;8:20;AVDA. PORTUGAL;3;LATINA;Caída;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;DE 30 A 34 AÑOS;Mujer;07
2021S007306;30/04/2021;23:30;PLAZA. COLON / PASEO. RECOLETOS;-;CENTRO;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 21 A 24 AÑOS;Mujer;
2021S007285;30/04/2021;18:35;CALL. CONDESA DE VENADITO / CALL. MARTINEZ VILLERGAS;-;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Mujer;03
2021S007365;01/05/2021;18:50;AVDA. VALDEMARIN / CMNO. LAVADERO;-;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;06
2021S007454;02/05/2021;22:10;CALL. DOCTOR ESQUERDO;47;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;01
2021S007478;02/05/2021;11:00;CALL. AFUERAS A VALVERDE / CALL. ISLA DE RODAS;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07
2021S007427;02/05/2021;10:40;PQUE. MADRID RIO, SENDA CICLABLE  PK 6.400;-;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;02
2021S007427;02/05/2021;10:40;PQUE. MADRID RIO, SENDA CICLABLE  PK 6.400;-;ARGANZUELA;Caída;Despejado;Bicicleta;Peatón;DE 18 A 20 AÑOS;Mujer;14
2021S007563;03/05/2021;17:30;PISTA. CRISTO DE EL PARDO;17;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;02
2021S007989;04/05/2021;23:29;CALL. JOSE ANTONIO NOVAIS / CALL. RAMIRO DE MAEZTU;-;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Mujer;03
2021S007989;04/05/2021;23:29;CALL. JOSE ANTONIO NOVAIS / CALL. RAMIRO DE MAEZTU;-;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Mujer;14
2021S007583;04/05/2021;13:20;CALL. LOS YEBENES;6;LATINA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;07
2021S007614;05/05/2021;19:00;CALL. JEMENUÑO / PASEO. MELANCOLICOS;-;ARGANZUELA;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 60 A 64 AÑOS;Hombre;03
2021S007626;05/05/2021;18:40;CUSTA. SAN VICENTE;8;MONCLOA-ARAVACA;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DESCONOCIDA;;
2021S007611;05/05/2021;16:40;CALL. VICENTE BLASCO IBAÑEZ / CALL. ENRIQUE AZCOAGA;-;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;03
2021S007645;05/05/2021;13:15;CALL. MANUEL AGUILAR MUÑOZ / PASEO. ALAMEDA DE OSUNA;-;BARAJAS;Colisión frontal;Despejado;Bicicleta;Conductor;DE 60 A 64 AÑOS;Hombre;07
2021S007593;05/05/2021;12:20;CALL. ALHAMBRA / CALL. CUART DE POBLET;-;LATINA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;03
2021S007766;07/05/2021;19:00;CALL. SEGOVIA / CALL. BEATRIZ GALINDO;-;CENTRO;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 25 A 29 AÑOS;Hombre;01
2021S007727;07/05/2021;15:55;PLAZA. SAN JUAN DE LA CRUZ / CALL. ZURBANO;-;CHAMBERÍ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;03
